#name	chrom	strand	exonStarts	exonEnds	score
NM_058087.5	chr2R	+	17054001,17056933,17057388,17057912,17058191,	17054285,17057328,17057850,17058138,17059299,	0
NM_079042.4	chr2R	-	17054545,17055234,17056362,	17055176,17056298,17056835,	0
NM_001259455.2	chr2R	-	17059330,17060857,	17060801,17062634,	0
NM_137340.3	chr2R	-	17059870,17060857,	17060801,17062634,	0
NM_137341.3	chr2R	+	17062774,17062963,17063170,17064256,	17062906,17063106,17064015,17066546,	0
NM_166214.3	chr2R	+	17062774,17062963,17064256,	17062906,17064015,17066546,	0
NM_206148.2	chr2R	-	17065970,17067525,17069898,17071119,17071726,	17067454,17069757,17070676,17071505,17071945,	0
NM_206149.2	chr2R	-	17065970,17067525,17069898,17071119,17071726,17071971,17072529,	17067454,17069757,17070676,17071505,17071855,17072381,17073052,	0
NM_001169701.2	chr2R	-	17065970,17067525,17069898,17071119,17071726,17071971,17072529,	17067454,17068215,17070676,17071505,17071855,17072381,17073052,	0
NM_137342.4	chr2R	-	17065970,17067525,17069898,17071119,17071726,17071971,17072529,17075441,	17067454,17069757,17070676,17071505,17071855,17072381,17072912,17076149,	0
NM_001144214.3	chr2R	-	17065970,17067525,17071726,17071971,17072529,17075441,	17067454,17069757,17071855,17072381,17072912,17076149,	0
NM_001144213.3	chr2R	-	17065970,17067525,17069898,17071119,17071726,17071971,17072529,17075648,	17067454,17069757,17070676,17071505,17071855,17072381,17072912,17076149,	0
NM_001103885.4	chr2R	-	17065970,17067525,17069898,17071119,17071726,17071971,17072529,17081112,17087222,	17067454,17069757,17070676,17071505,17071855,17072381,17072912,17081849,17087633,	0
NM_206150.3	chr2R	-	17066380,17067525,17071726,17071971,17072529,	17067454,17069757,17071855,17072381,17073052,	0
NM_001202033.2	chr2R	-	17066573,17067525,17069898,17071119,17071726,	17067454,17068215,17070676,17071505,17071909,	0
NR_163233.1	chr2R	+	17070585,	17070688,	0
NM_166215.2	chr2R	-	17088440,17089004,17089209,17089713,17091358,	17088945,17089151,17089658,17090375,17091609,	0
NM_143775.3	chr2R	-	17088440,17089004,17089209,17089713,17091358,17091809,	17088945,17089151,17089658,17090375,17091523,17091958,	0
NM_137343.3	chr2R	+	17091983,17092548,	17092491,17093070,	0
NM_166216.2	chr2R	-	17093245,17094315,17094528,17094764,17096803,	17094228,17094458,17094696,17095060,17096977,	0
NM_001274111.1	chr2R	-	17093245,17094315,17094516,17094764,17099491,	17094228,17094449,17094696,17095060,17099501,	0
NM_079043.3	chr2R	-	17093642,17094315,17094528,17094764,17097227,	17094228,17094458,17094696,17095060,17097436,	0
NM_166217.3	chr2R	-	17093873,17094315,17094528,17094764,17097227,17098125,17099491,	17094228,17094458,17094696,17095060,17097535,17098306,17099501,	0
NM_137344.4	chr2R	+	17100240,17102511,17105597,17105759,17106116,17106265,17106431,17106632,	17100388,17103687,17105696,17106057,17106203,17106370,17106566,17107542,	0
NM_001274112.1	chr2R	+	17102958,17105597,17105759,17106116,17106265,17106431,17106632,	17103687,17105696,17106057,17106203,17106370,17106566,17107542,	0
NM_001144215.1	chr2R	+	17104454,17105763,17106116,17106265,17106431,17106632,	17104661,17106057,17106203,17106370,17106566,17107542,	0
NM_166218.2	chr2R	+	17108843,17110166,17113317,17113467,17113628,17113824,	17109276,17110500,17113404,17113572,17113760,17114360,	0
NM_137345.3	chr2R	+	17108843,17109942,17110166,17113317,17113467,17113628,17113824,	17109276,17110074,17110500,17113404,17113572,17113760,17114360,	0
NM_001299589.1	chr2R	-	17118635,	17120303,	0
NM_080421.4	chr2R	-	17118708,	17120303,	0
NR_124590.1	chr2R	+	17121094,	17124636,	0
NM_001043088.2	chr2R	-	17122897,17123209,	17123148,17124237,	0
NM_079044.2	chr2R	+	17124763,	17126369,	0
NM_137347.3	chr2R	-	17126409,	17127023,	0
NM_001299590.1	chr2R	+	17128479,17129157,17129994,	17129051,17129882,17130334,	0
NM_137348.4	chr2R	+	17128810,17129157,17129994,	17129051,17129882,17130334,	0
NM_001382129.1	chr2R	-	17131115,	17131552,	0
NM_001043089.3	chr2R	+	17133444,	17133750,	0
NM_137349.3	chr2R	+	17134128,	17134852,	0
NM_001299591.1	chr2R	+	17134128,	17135345,	0
NM_137350.4	chr2R	+	17136450,	17136903,	0
NM_137351.3	chr2R	+	17137239,17137490,	17137413,17138831,	0
NM_001299592.1	chr2R	+	17137239,17137490,	17137413,17139595,	0
NM_001259456.2	chr2R	-	17139449,	17139931,	0
NM_001259457.2	chr2R	-	17140494,	17140865,	0
NR_124592.1	chr2R	+	17140578,17140926,	17140869,17141194,	0
NR_002544.1	chr2R	-	17143520,	17143693,	0
NR_002545.1	chr2R	+	17145653,	17145826,	0
NM_001299593.1	chr2R	+	17154588,17154838,	17154744,17157125,	0
NM_137352.4	chr2R	+	17154696,17154838,	17154744,17155230,	0
NM_137353.2	chr2R	-	17156533,	17158316,	0
NM_166220.3	chr2R	-	17158324,17158979,	17158879,17159038,	0
NM_137354.2	chr2R	-	17160121,17160782,	17160720,17160829,	0
NM_001274113.1	chr2R	-	17165083,17166452,	17166381,17166643,	0
NM_137355.2	chr2R	-	17165460,17166452,	17166381,17166505,	0
NR_124593.1	chr2R	+	17185095,	17185595,	0
NM_001347773.1	chr2R	-	17187503,	17187678,	0
NR_124595.1	chr2R	-	17188795,	17189095,	0
NR_124596.1	chr2R	+	17189304,	17189945,	0
NM_137356.2	chr2R	+	17195202,17195315,	17195262,17197159,	0
NM_001259458.1	chr2R	+	17205207,17205308,	17205254,17205743,	0
NM_001274115.1	chr2R	+	17216548,17220054,17275409,17351093,17352128,17359305,17361979,17371094,17373076,17373817,	17217075,17220103,17276063,17351264,17352305,17359557,17362097,17371153,17373161,17379376,	0
NR_133129.1	chr2R	-	17245060,	17245501,	0
NM_137357.4	chr2R	-	17245768,	17246277,	0
NM_137358.3	chr2R	-	17246529,17247316,	17247228,17247383,	0
NR_073884.2	chr2R	-	17253155,17254527,17254972,	17254462,17254616,17255104,	0
NM_001259460.2	chr2R	+	17255240,17255442,	17255387,17255705,	0
NM_001259459.1	chr2R	+	17255240,17255442,	17255384,17255737,	0
NM_001259461.1	chr2R	-	17257155,17257784,	17257709,17257886,	0
NR_133130.1	chr2R	+	17262338,	17262748,	0
NM_176212.2	chr2R	+	17265517,17275409,17351093,17352128,	17266211,17276063,17351264,17353551,	0
NM_176211.2	chr2R	+	17265517,17275409,17351093,17352128,17359305,	17266211,17276063,17351264,17352305,17361486,	0
NM_001259466.2	chr2R	+	17265517,17275409,17351093,17352128,17359305,17361979,17362271,	17266053,17276063,17351264,17352305,17359557,17362097,17365386,	0
NM_001259462.2	chr2R	+	17265517,17275409,17351093,17352128,17354178,17359305,17361979,17362271,	17266053,17276063,17351264,17352305,17354412,17359557,17362097,17365386,	0
NM_001144216.3	chr2R	+	17265517,17275409,17351093,17352128,17361979,17362271,	17266211,17276063,17351264,17352305,17362097,17365386,	0
NM_001259464.2	chr2R	+	17265517,17275409,17351093,17352128,17361112,17361979,17362271,	17266211,17276063,17351264,17352305,17361154,17362097,17365386,	0
NM_001274118.1	chr2R	+	17265517,17275409,17351093,17352128,17354178,17361979,	17266211,17276063,17351264,17352305,17354412,17365386,	0
NM_001274119.1	chr2R	+	17265517,17275409,17351093,17352128,17354178,17361112,17361979,	17266211,17276063,17351264,17352305,17354412,17361154,17365386,	0
NM_001274117.1	chr2R	+	17265517,17275409,17351093,17352128,17354178,17361112,17361979,	17266211,17276063,17351264,17352305,17354463,17361154,17365386,	0
NM_001144217.2	chr2R	+	17265517,17275409,17351093,17352128,17361979,17373817,	17266211,17276063,17351264,17352305,17362097,17379376,	0
NM_001274114.1	chr2R	+	17265517,17275409,17351093,17352128,17361979,17371094,17373076,17373817,	17266211,17276063,17351264,17352305,17362097,17371153,17373161,17379376,	0
NM_176210.2	chr2R	+	17265517,17275409,17351093,17352128,17361112,17361979,17373076,17373817,	17266211,17276063,17351264,17352305,17361154,17362097,17373161,17379376,	0
NR_073885.1	chr2R	-	17306758,17307131,	17307079,17307302,	0
NR_124597.2	chr2R	-	17386840,17387379,17387578,17388363,	17387133,17387521,17387993,17389081,	0
NM_079973.3	chr2R	+	17394592,17403888,	17395026,17405171,	0
NM_001299594.1	chr2R	-	17405303,17406036,17406874,	17405983,17406801,17407150,	0
NM_137360.2	chr2R	-	17405303,17406036,17406874,17407240,	17405983,17406801,17407055,17407427,	0
NM_137361.4	chr2R	-	17408257,17409131,17409764,17410102,	17408989,17409611,17409995,17410204,	0
NM_166221.4	chr2R	+	17412766,17412904,17413101,	17412843,17413043,17413769,	0
NM_057854.4	chr2R	+	17412838,17413101,	17413043,17413769,	0
NM_166223.2	chr2R	-	17413969,17419083,17419410,	17419024,17419247,17419588,	0
NM_001299595.1	chr2R	-	17413969,17419083,17419410,	17419024,17419247,17420007,	0
NM_137362.4	chr2R	+	17420406,17423655,17424027,17424197,17424572,17424818,17425469,	17420573,17423963,17424134,17424505,17424759,17425412,17425679,	0
NM_166225.3	chr2R	+	17420406,17421447,17423655,17424027,17424197,17424572,17424818,17425469,	17420573,17421946,17423963,17424134,17424505,17424759,17425412,17425679,	0
NM_166224.3	chr2R	+	17420406,17423655,17424027,17424197,17424572,17424818,17425469,	17421946,17423963,17424134,17424505,17424759,17425412,17425679,	0
NM_166226.3	chr2R	+	17421376,17423655,17424027,17424197,17424572,17424818,17425469,	17421946,17423963,17424134,17424505,17424759,17425412,17425679,	0
NM_137363.4	chr2R	-	17425669,17426431,	17426371,17427511,	0
NM_001299596.1	chr2R	+	17427794,17428163,17429002,	17428093,17428943,17429315,	0
NM_001274120.2	chr2R	+	17427952,17428163,17429002,	17428093,17428943,17429315,	0
NM_137364.4	chr2R	+	17427952,17428163,17429002,	17428093,17428943,17429315,	0
NM_137365.4	chr2R	-	17429352,17429719,17430641,	17429660,17430562,17430963,	0
NM_137366.4	chr2R	+	17431031,	17432219,	0
NM_206151.2	chr2R	-	17432172,17432773,17433190,17433419,17434124,17444335,	17432708,17433130,17433355,17434058,17434975,17444938,	0
NM_079046.3	chr2R	-	17432172,17432773,17433190,17433419,17434124,17444335,	17432708,17433130,17433334,17434058,17434975,17444938,	0
NM_137367.3	chr2R	+	17440296,17440813,17441486,17441672,	17440754,17440875,17441617,17442483,	0
NM_176214.3	chr2R	-	17445184,17445489,17445750,17445976,17446293,17446526,17446736,	17445420,17445684,17445919,17446231,17446470,17446677,17447483,	0
NM_001299598.1	chr2R	-	17448532,17449110,17449264,17449536,17449768,17450085,17450318,17450528,17451088,	17448825,17449202,17449459,17449708,17450023,17450262,17450469,17451032,17451296,	0
NM_001299597.1	chr2R	-	17448532,17449110,17449264,17449536,17449768,17450085,17450318,17450528,17452141,	17448825,17449202,17449459,17449708,17450023,17450262,17450469,17451032,17452598,	0
NM_145335.3	chr2R	-	17448532,17449110,17449264,17449536,17449768,17450085,17450318,17450528,17452452,	17448825,17449202,17449459,17449708,17450023,17450262,17450469,17451032,17452598,	0
NM_137369.4	chr2R	+	17453398,17453895,17454028,17454226,17454908,17455052,17455247,	17453632,17453941,17454174,17454832,17454957,17455189,17455729,	0
NM_001103886.2	chr2R	-	17455742,17456137,	17456078,17456197,	0
NM_001299599.1	chr2R	-	17455742,17456137,17456372,	17456078,17456293,17456441,	0
NM_079047.4	chr2R	+	17456471,17456636,17456783,	17456573,17456715,17457129,	0
NM_166229.3	chr2R	+	17457662,17461993,	17457872,17465580,	0
NM_001299601.1	chr2R	+	17457662,17461993,	17457872,17465795,	0
NM_001299600.1	chr2R	+	17458815,17461993,	17459079,17465580,	0
NM_137370.3	chr2R	+	17460597,17461993,	17460666,17465580,	0
NM_137371.4	chr2R	-	17465878,17467074,17468058,17468772,	17467012,17467993,17468702,17469177,	0
NM_166230.3	chr2R	+	17469623,17470566,17470941,17471171,17471693,17471854,17472135,17472492,17473086,	17469717,17470886,17471066,17471623,17471795,17472075,17472434,17472809,17473357,	0
NM_166231.3	chr2R	+	17469623,17470576,17470941,17471171,17471693,17471854,17472135,17472492,17473086,	17469717,17470886,17471066,17471623,17471795,17472075,17472434,17472809,17474648,	0
NM_001274121.1	chr2R	+	17469623,17470576,17470941,17471171,17471693,17471854,17472135,17472492,17473086,	17469717,17470886,17471066,17471623,17471795,17472075,17472434,17472809,17475129,	0
NM_079048.4	chr2R	+	17469745,17470576,17470941,17471171,17471693,17471854,17472135,17472492,17473086,	17470204,17470886,17471066,17471623,17471795,17472075,17472434,17472804,17473357,	0
NM_137372.4	chr2R	-	17475213,	17476067,	0
NM_001299602.1	chr2R	-	17475213,	17476272,	0
NM_001299603.1	chr2R	-	17477564,17482618,17482790,17482905,17483491,17483697,17483821,	17482564,17482725,17482839,17483433,17483637,17483740,17486220,	0
NM_001299604.1	chr2R	+	17478157,17478388,17479816,17480116,17480331,17480650,17481015,17481374,	17478269,17478508,17480059,17480267,17480588,17480945,17481313,17482118,	0
NM_137373.3	chr2R	+	17479146,17479816,17480116,17480331,17480650,17481015,17481374,	17479179,17480059,17480267,17480588,17480945,17481313,17482118,	0
NM_001259467.2	chr2R	-	17481997,17482618,17482790,17482905,17483491,17483697,17483821,	17482564,17482725,17482839,17483433,17483637,17483740,17484052,	0
NM_166232.2	chr2R	+	17485001,17490936,17491214,17491424,17491738,17492088,17492450,	17485029,17491163,17491365,17491681,17492015,17492389,17493169,	0
NM_137374.3	chr2R	+	17485001,17490936,17491214,17491424,17491738,17492088,17492450,	17485131,17491163,17491365,17491681,17492015,17492389,17493169,	0
NM_166233.4	chr2R	+	17493694,17494040,17494234,17494550,17494883,17495242,	17493980,17494182,17494491,17494827,17495187,17495998,	0
NM_001032264.4	chr2R	+	17502353,17505635,17506157,17507443,	17502960,17506011,17506310,17508645,	0
NM_001259468.2	chr2R	+	17502676,17505635,17506157,	17502960,17506011,17507459,	0
NM_001032265.4	chr2R	+	17502676,17505635,17506160,17507443,	17502960,17506011,17506310,17508645,	0
NM_001202034.3	chr2R	+	17502676,17505635,17506160,17507443,	17502960,17506011,17506745,17508645,	0
NM_001032266.4	chr2R	+	17502676,17505635,17506157,17507443,	17502960,17506011,17506745,17508645,	0
NM_001299605.1	chr2R	+	17508994,17510145,	17510078,17511394,	0
NM_001103887.3	chr2R	+	17509925,17510145,	17510078,17510798,	0
NM_137377.3	chr2R	+	17511512,17512451,17512775,17513049,	17511544,17512715,17512984,17513855,	0
NM_206152.2	chr2R	+	17512229,17512456,17512775,17513049,	17512263,17512715,17512984,17513855,	0
NM_166237.2	chr2R	+	17512229,17512451,17512775,17513049,	17512263,17512715,17512984,17513855,	0
NM_166235.2	chr2R	+	17512229,17512775,17513049,	17512715,17512984,17513855,	0
NM_001299606.1	chr2R	+	17514216,17514579,17515599,17516384,17516584,17516854,	17514416,17515529,17516322,17516528,17516790,17517445,	0
NM_166238.4	chr2R	+	17514216,17514579,17515584,17516384,17516584,17516854,	17514416,17515529,17516322,17516528,17516790,17517445,	0
NM_137378.4	chr2R	+	17514216,17515584,17516384,17516584,17516854,	17515529,17516322,17516528,17516790,17517445,	0
NM_137379.5	chr2R	-	17517260,17517970,	17517911,17518186,	0
NM_137380.3	chr2R	+	17518222,17518483,17518752,	17518427,17518695,17519027,	0
NM_001144218.3	chr2R	-	17519023,17520645,17522852,17523499,17523823,17524083,17524347,17524703,17526833,17527213,17527375,17527822,17528621,17529086,17531046,17531210,17531517,17531713,17531870,17534825,17535693,	17520579,17520928,17522960,17523571,17523898,17524282,17524584,17526416,17526980,17527315,17527748,17528105,17528852,17529191,17531147,17531461,17531653,17531802,17532182,17535061,17535866,	0
NM_001274127.1	chr2R	-	17519023,17520645,17521831,17522852,17524083,17524347,17524703,17527213,17527375,17527822,17531046,17531210,17531517,17531713,17531870,17534825,17535693,	17520579,17520928,17521906,17522960,17524282,17524584,17526317,17527312,17527748,17528105,17531147,17531446,17531653,17531802,17532182,17535061,17535866,	0
NM_001274123.1	chr2R	-	17519688,17520645,17523823,17524083,17524347,17524703,17526833,17527213,17527375,17527822,17528312,17528621,17529086,17529981,17531046,17531210,17531517,17531713,17531870,17534825,17535693,	17520579,17520928,17523898,17524282,17524584,17526413,17526980,17527315,17527748,17528105,17528375,17528852,17529191,17530134,17531147,17531461,17531653,17531802,17532182,17535061,17535866,	0
NM_001274124.1	chr2R	-	17519688,17520645,17521705,17524083,17524347,17524703,17526833,17527213,17527375,17527822,17528312,17528621,17529981,17531046,17531210,17531517,17531713,17531870,17534825,17535693,	17520579,17520928,17521900,17524282,17524584,17526416,17526980,17527315,17527748,17528105,17528375,17528852,17530134,17531147,17531461,17531653,17531802,17532182,17535061,17535866,	0
NM_001274126.1	chr2R	-	17519688,17520645,17522852,17524083,17524347,17524703,17527213,17527375,17527822,17529981,17531046,17531210,17531517,17531713,17531870,17534825,17535693,	17520579,17520928,17522960,17524282,17524584,17526416,17527315,17527748,17528105,17530134,17531147,17531461,17531653,17531802,17532182,17535061,17535866,	0
NM_001169704.2	chr2R	-	17519688,17520645,17521831,17523499,17523823,17524083,17524347,17524703,17526833,17527213,17527375,17527822,17528312,17528621,17529086,17531046,17531210,17531517,17531713,17531870,17534825,17535693,	17520579,17520928,17521900,17523571,17523898,17524282,17524584,17526416,17526980,17527315,17527748,17528105,17528375,17528852,17529191,17531147,17531461,17531653,17531802,17532182,17535061,17535866,	0
NM_001169706.2	chr2R	-	17519688,17520645,17521831,17522852,17523823,17524083,17524347,17524703,17526833,17527213,17527375,17527822,17528312,17528621,17529086,17531046,17531210,17531517,17531713,17531870,17534825,17535693,	17520579,17520928,17521900,17522960,17523898,17524282,17524584,17526416,17526980,17527315,17527748,17528105,17528375,17528852,17529191,17531147,17531461,17531653,17531802,17532182,17535061,17535866,	0
NM_001274122.1	chr2R	-	17519688,17520645,17521705,17523823,17524083,17524347,17524703,17526833,17527213,17527375,17527822,17528312,17528621,17529086,17531046,17531210,17531517,17531713,17531870,17534825,17535693,	17520579,17520928,17521900,17523898,17524282,17524584,17526416,17526980,17527315,17527748,17528105,17528375,17528852,17529191,17531147,17531461,17531653,17531802,17532182,17535061,17535866,	0
NM_001144219.3	chr2R	-	17519688,17520645,17524083,17524347,17524703,17526833,17527213,17527375,17527822,17528312,17528621,17529086,17531046,17531210,17531517,17531713,17531870,17534825,17535693,	17520579,17520928,17524282,17524584,17526416,17526980,17527315,17527748,17528105,17528375,17528852,17529191,17531147,17531461,17531653,17531802,17532182,17535061,17535866,	0
NM_206153.3	chr2R	-	17519688,17520645,17522852,17523499,17523823,17524083,17524347,17524703,17526833,17527213,17527375,17527822,17528621,17529086,17531046,17531210,17531517,17531713,17531870,17534825,17535693,	17520579,17520928,17522960,17523571,17523898,17524282,17524584,17526317,17526980,17527315,17527748,17528105,17528852,17529191,17531147,17531461,17531653,17531802,17532182,17535061,17535866,	0
NM_001274125.1	chr2R	-	17519688,17520645,17523499,17524083,17524347,17524703,17527213,17527375,17527822,17528312,17528621,17531046,17531210,17531517,17531713,17531870,17534825,17535693,	17520579,17520928,17523571,17524282,17524584,17526413,17527315,17527748,17528105,17528375,17528852,17531147,17531461,17531653,17531802,17532182,17535061,17535866,	0
NM_206154.3	chr2R	-	17520273,17520645,17521831,17524083,17524347,17524703,17527213,17527375,17527822,17528312,17528621,17529086,17531046,17531210,17531517,17531713,17531870,17534825,17535693,	17520579,17520928,17521900,17524282,17524584,17526317,17527315,17527748,17528105,17528375,17528852,17529191,17531147,17531461,17531653,17531802,17532182,17535061,17535866,	0
NM_176218.3	chr2R	-	17520275,17520645,17524083,17524347,17524703,17527213,17527375,17527822,17528312,17528621,17529086,17531046,17531210,17531517,17531713,17531870,17534825,	17520579,17520928,17524282,17524584,17526317,17527315,17527748,17528105,17528375,17528852,17529191,17531147,17531461,17531653,17531802,17532182,17535649,	0
NM_137384.3	chr2R	+	17536212,17536454,17536695,17537069,17538693,	17536329,17536579,17537011,17538622,17539063,	0
NM_166239.4	chr2R	+	17536332,17536695,17537069,17538693,	17536579,17537011,17538622,17539142,	0
NM_137385.2	chr2R	+	17539321,17540879,17541996,17542343,17543129,17543428,17543917,	17540821,17541825,17542280,17543069,17543368,17543552,17544353,	0
NM_001299607.1	chr2R	+	17544189,17544821,	17544620,17545045,	0
NM_001103888.3	chr2R	+	17544431,17544821,	17544620,17545045,	0
NM_079049.4	chr2R	+	17545221,17545553,17545993,17546239,	17545489,17545937,17546166,17546400,	0
NM_079050.3	chr2R	-	17546405,17547408,	17546986,17547462,	0
NM_001299608.1	chr2R	+	17547768,17548885,17549068,17551449,	17548534,17548962,17551391,17556289,	0
NM_001103889.2	chr2R	+	17547768,17548885,17549068,17551443,	17548534,17548962,17551391,17556289,	0
NM_001299609.1	chr2R	+	17548291,17548885,17549068,17551124,17551443,	17548534,17548962,17551064,17551391,17556289,	0
NM_079051.4	chr2R	+	17548291,17548885,17549068,17551443,	17548534,17548962,17551391,17556289,	0
NM_001299610.1	chr2R	+	17557030,17560496,17560726,17561018,17561477,17561697,17562659,	17557534,17560671,17560954,17561159,17561619,17562538,17562866,	0
NM_001259469.2	chr2R	+	17557030,17560496,17560726,17561018,17561477,17561697,17562619,	17557534,17560671,17560954,17561159,17561619,17562538,17562866,	0
NM_080144.3	chr2R	+	17557030,17560496,17560726,17561018,17561477,17561697,17562957,	17557534,17560671,17560954,17561159,17561619,17562538,17563285,	0
NM_001316426.1	chr2R	+	17557030,17560496,17560726,17561018,17561477,17561697,17562957,17563340,	17557534,17560671,17560954,17561159,17561619,17562538,17563281,17563406,	0
NM_001316425.1	chr2R	+	17557030,17560496,17560726,17561018,17561477,17561697,17562957,17563340,	17557534,17560671,17560954,17561159,17561619,17562538,17563281,17563406,	0
NM_001259470.2	chr2R	+	17563605,	17564351,	0
NM_001382143.1	chr2R	+	17564339,	17564944,	0
NM_001382144.1	chr2R	+	17564339,17564718,17565163,17565387,	17564665,17565103,17565324,17565852,	0
NM_137387.2	chr2R	+	17564339,17564718,17565163,17565387,	17564665,17565103,17565324,17565852,	0
NM_001259471.2	chr2R	+	17564854,17565163,17565387,	17565103,17565324,17565852,	0
NM_137388.4	chr2R	-	17565778,17567052,17568118,	17566994,17567731,17568456,	0
NM_079052.4	chr2R	+	17568731,17569245,17569521,17571233,17571472,17571827,	17569177,17569354,17571166,17571413,17571766,17572322,	0
NM_001274128.2	chr2R	-	17572095,17572651,	17572523,17572784,	0
NM_137389.4	chr2R	-	17572332,17572651,	17572523,17572784,	0
NM_001144220.3	chr2R	+	17572828,17573102,	17573033,17573330,	0
NM_079053.4	chr2R	+	17573461,17573620,17573783,17573934,17574330,	17573521,17573714,17573864,17574267,17574735,	0
NM_166240.3	chr2R	+	17573461,17573783,17573934,17574330,	17573714,17573864,17574267,17574979,	0
NM_079054.5	chr2R	-	17574978,17578553,17578794,17579415,17580168,17580915,17581214,17581405,	17578495,17578728,17579352,17580112,17580476,17581093,17581345,17581525,	0
NM_001299611.1	chr2R	-	17574978,17578556,17578794,17579415,17580168,17580915,17581214,17581405,	17578495,17578728,17579352,17580112,17580476,17581093,17581345,17581525,	0
NM_137390.4	chr2R	-	17582006,17583241,	17582825,17584012,	0
NR_124598.1	chr2R	+	17584094,	17584495,	0
NM_001299612.1	chr2R	-	17585194,	17586149,	0
NM_137391.4	chr2R	-	17585634,	17586149,	0
NM_001274130.2	chr2R	-	17585634,17586265,	17586042,17586294,	0
NR_124599.1	chr2R	+	17585691,	17586243,	0
NM_001274131.2	chr2R	-	17586424,17587091,17587532,17588619,17589053,17589907,17590205,	17587028,17587399,17588531,17588786,17589854,17590140,17590688,	0
NM_137392.3	chr2R	-	17586424,17587091,17587532,17588619,17589053,17589907,17590205,	17587028,17587399,17588531,17588786,17589854,17590140,17590884,	0
NM_137393.4	chr2R	+	17590963,17591237,	17591151,17591881,	0
NM_166241.3	chr2R	-	17591803,17592027,	17591963,17592509,	0
NM_079055.3	chr2R	+	17592790,17593467,17593965,17599849,17600141,17602403,17602662,17602901,	17593312,17593904,17594004,17600086,17602347,17602603,17602826,17603981,	0
NM_001274132.1	chr2R	+	17592790,17593467,17593965,17599849,17600141,17602403,17602662,17602901,	17593312,17593904,17594004,17600086,17602347,17602603,17602826,17604461,	0
NM_137394.2	chr2R	+	17595266,	17597409,	0
NM_001299613.1	chr2R	-	17598844,	17599253,	0
NM_001299614.1	chr2R	-	17598987,	17599253,	0
NM_001202035.2	chr2R	-	17599388,	17599607,	0
NM_137395.2	chr2R	-	17604950,17605744,17605974,17606164,17606550,17611314,17614899,17637223,17639020,	17605685,17605912,17606105,17606480,17609586,17611581,17615135,17637593,17639138,	0
NM_001299615.1	chr2R	-	17616498,	17617895,	0
NR_003805.1	chr2R	+	17616755,	17616917,	0
NM_080533.4	chr2R	-	17628490,17631953,17632483,	17628747,17632233,17633516,	0
NM_137396.3	chr2R	-	17633796,	17634167,	0
NM_137397.3	chr2R	-	17646847,17647816,17649063,17649720,17650890,17651156,17651340,17653943,17664760,	17647748,17647963,17649201,17649824,17651100,17651260,17651567,17654446,17665068,	0
NM_001299616.1	chr2R	+	17665677,17666031,17666221,17669031,	17665816,17666159,17668985,17669275,	0
NM_137398.2	chr2R	+	17665758,17666031,17666221,	17665816,17666159,17669178,	0
NM_166243.3	chr2R	+	17669394,17669686,	17669632,17670000,	0
NM_166244.3	chr2R	+	17670081,17670386,	17670328,17670748,	0
NM_001382122.1	chr2R	+	17671067,	17671295,	0
NM_137399.4	chr2R	-	17671308,17671864,17672329,	17671806,17672209,17672640,	0
NM_206157.2	chr2R	-	17672838,17674571,17674826,17675910,17677825,17678271,17682894,	17674508,17674764,17675837,17676593,17677919,17678782,17682994,	0
NM_137400.4	chr2R	-	17672838,17674571,17674826,17675910,17677825,17678271,17683392,	17674508,17674764,17675837,17676593,17677919,17678782,17683499,	0
NM_001169707.2	chr2R	-	17673286,17674571,17674826,17675910,17677825,17678271,17679059,	17674508,17674764,17675837,17676593,17677919,17678782,17679255,	0
NM_166245.2	chr2R	+	17683573,17687257,17687555,17687853,17688006,17689582,17689873,	17683728,17687492,17687798,17687948,17689525,17689815,17690822,	0
NM_001169709.2	chr2R	+	17684854,17684973,17685154,	17684904,17685095,17685548,	0
NM_137401.3	chr2R	+	17685813,17685919,17686106,	17685866,17686044,17686410,	0
NM_137402.4	chr2R	+	17686690,17687257,17687555,17687853,17688006,17689582,17689873,	17686938,17687492,17687798,17687948,17689525,17689815,17690822,	0
NM_137403.4	chr2R	-	17690274,17691703,17691942,17692578,17695010,	17691636,17691883,17692426,17692791,17695353,	0
NM_137404.5	chr2R	-	17695775,17696611,17696800,17696928,17697831,17697984,17698203,	17696550,17696741,17696872,17696936,17697920,17698133,17698362,	0
NR_124601.1	chr2R	+	17697531,17698166,	17697730,17698796,	0
NR_073887.1	chr2R	+	17699096,17699350,17699857,17700080,17700381,17700634,17700900,17701133,17701368,17701595,17701833,17702074,17702314,17702546,17702778,17703020,17703243,	17699168,17699444,17699897,17700185,17700433,17700703,17700942,17701192,17701414,17701649,17701894,17702125,17702369,17702598,17702841,17703064,17703344,	0
NR_001754.2	chr2R	+	17699096,17699350,17699857,17700080,17700381,17700634,17700900,17701133,17701368,17701595,17701833,17702074,17702314,17702546,17702778,17703020,17703243,	17699168,17699449,17699897,17700185,17700433,17700703,17700942,17701192,17701414,17701649,17701894,17702125,17702369,17702598,17702841,17703064,17703344,	0
NR_001755.1	chr2R	+	17699207,	17699276,	0
NR_001756.1	chr2R	+	17699701,	17699788,	0
NR_001757.1	chr2R	+	17699931,	17700004,	0
NR_001758.1	chr2R	+	17700219,	17700305,	0
NR_001759.1	chr2R	+	17700471,	17700559,	0
NR_001760.1	chr2R	+	17700740,	17700813,	0
NR_001761.1	chr2R	+	17700975,	17701062,	0
NR_001762.1	chr2R	+	17701228,	17701297,	0
